A, list
ABOUT, NEVER
AGAIN, DONT
ARE, YOU
All, the
And, out
Any, chance
Apart, from
Arthur, Weasley
Artifacts, Office
As, long
Aunt, Petunia
Bagshot, propped
Bank, The
Barely, alive
Bathilda, Bagshot
Bill, says
Bills, taken
Binns, asked
Book, shuddered
Boy, Ill
Broomcare, Apart
Broomstick, Servicing
Burning, in
But, how
Bye, 
CAN, YOU
COME, NEAR
CONTACT, ME
Can, you
Century, Was
Charm, and
Clippers, a
Completely, Pointless
Cross, station
DARE, YOU
DONT, YOU
Dad, won
Daily, Prophet
Dark, wizard
Dear, Mr
Deciding, that
Deputy, Headmistress
Did, you
DoItYourself, Broomcare
Dont, let
Draw, Seven
Drive, and
Dudley, It
Dursley, speaking
Dursleys, were
EMPLOYEE, SCOOPS
Egypt, Bills
Egyptian, wizards
Errol, watched
Errols, package
Express, will
Extremely, unusual
FAMILY, And
FRIEND, 
FROM, 
Fingers, trembling
Flame, Freezing
Fleetwoods, HighFinish
For, a
Fourteenth, Century
France, at
Fred, and
Freezing, Charm
GIVE, THIS
GRAND, PRIZE
Galleon, Draw
Gazing, absently
George, had
Ginny, come
Grand, Prize
Granger, hadnt
Gringotts, Wizarding
HARRY, POTTER
HARRYS, 
HEAR, ME
HELLO, CAN
HERE, he
HOW, DARE
Hagrid, thought
Hagrids, card
Handbook, of
Handle, Polish
Happy, birthday
Harry, Potter
Harrys, most
He, looked
Head, Boy
Headmistress, Harry
Hedwig, and
Hedwigs, cage
Hermione, Harry
Hermiones, grinning
HighFinish, Handle
His, heart
History, of
Hogsmeade, form
Hogwarts, Then
Hope, the
House, teams
I, see
IM, 
IS, NO
If, not
Ill, bet
Im, really
Indeed, Wendelin
Inside, this
It, was
Its, amazing
Ive, found
James, Potter
KNOW, WHAT
Kings, Cross
Kit, Wow
Knowing, Hermione
LIKE, YOU
Lily, and
London, in
Look, Im
Lord, Voldemort
Love, from
M, McGongagall
MAGIC, EMPLOYEE
ME, AGAIN
MINISTRY, OF
MY, FAMILY
Magic, essay
McGongagall, Deputy
Ministry, of
Misuse, of
Monster, Book
Monsters, before
Most, of
Mr, Potter
Mrs, Weasley
Muggle, Artifacts
Muggles, are
Mum, wouldnt
NEAR, MY
NEVER, CONTACT
NO, HARRY
NUMBER, TO
Nimbus, Two
Nonmagic, people
Noticing, that
Now, there
OF, MAGIC
Of, all
Office, at
On, the
One, of
Ouch, The
PEOPLE, LIKE
POTTER, HERE
PRIZE, Arthur
PS, Ron
Percy, who
Percys, really
Perhaps, hed
Petunia, to
Please, give
Plump, little
Pocket, Sneakoscope
Pointless, 
Polish, a
Potter, felt
Praying, that
Privet, Drive
Prize, Galleon
Professor, M
Prophet, Ive
Quidditch, player
RON, 
Remembering, their
Right, in
Ron, doesnt
Rons, and
SCHOOL, YOURE
SCOOPS, GRAND
Scabbers, on
School, of
September, the
Servicing, Kit
Seven, hundred
She, gave
Silhouetted, against
Slowly, and
Snape, who
Sneakoscope, on
So, Harry
TALK, 
TALKING, ABOUT
THERE, IS
THIS, NUMBER
TO, PEOPLE
TailTwig, Clippers
Tell, you
The, Hogwarts
Then, he
There, was
Theres, some
These, days
They, landed
Think, you
Third, years
This, meant
Thousand, racing
Through, the
To, their
Try, and
Two, Thousand
Uhoh, Harry
Uncle, Vernon
Vernon, or
Vernons, small
Voldemort, had
Voldemorts, curse
WANT, 
WEASLEY, Ron
WHAT, SCHOOL
WHO, ARE
Was, Completely
We, will
Weasley, six
Weasleys, who
Weird, and
Well, be
Wendelin, the
When, Harry
While, Uncle
Will, your
Witch, Burning
Witchcraft, and
Wizarding, Bank
Wizardry, The
Wont, say
Wow, Hermione
YOU, Uncle
YOURE, TALKING
Yet, another
Yours, sincerely
a, biting
able, to
about, the
absent, for
absently, over
across, the
addition, to
admire, Uncle
admit, he
advertisement, in
affectionate, nip
afraid, of
after, a
again, Harry
against, the
age, had
ago, I
air, pleasant
alarm, clock
alive, Voldemort
all, right
allowed, to
almost, as
along, the
already, in
also, happened
always, had
amazing, here
an, entirely
ancient, Egyptian
and, lay
angrily, but
annual, Daily
another, day
answer, HELLO
answered, the
any, of
anyone, who
anything, dangerous
appeared, to
are, permitted
arm, around
arms, hurried
around, it
as, ominous
aside, and
asked, for
asleep, Harry
at, that
attack, with
attend, Harry
attitude, toward
aunt, and
avoid, trouble
away, from
back, into
bad, as
badge, to
balanced, on
balding, Mr
basic, Flame
bathroom, hed
be, wonderful
beak, as
bearing, the
because, it
bed, and
bedroom, As
bedside, table
been, known
beetles, in
before, it
befriend, giant
began, to
begin, on
behind, his
being, burned
believe, it
bellowed, back
belonged, to
belt, which
beneath, it
best, Hagrid
bet, Percys
between, his
birthday, cards
birthdays, and
biting, book
bizarre, creature
black, leather
blackandwhite, picture
blankets, Hedwig
bleary, eye
bolt, of
book, would
books, for
bottle, pulled
bought, your
bound, as
boy, in
brass, compass
break, and
breaker, for
bridge, of
bright, green
broadly, than
broken, in
broom, Harry
broomstick, at
broomsticks, Harry
brought, Inside
brown, paper
buckled, tightly
burden, it
burned, so
burning, had
but, he
buy, vicious
by, owlorder
cabin, Harry
cage, Errol
call, to
called, again
came, from
can, If
car, the
card, up
cards, Extremely
carefully, he
carried, Errol
carrying, a
case, aside
catch, a
caught, no
cauldron, and
century, to
certain, weekends
chance, of
change, I
chart, hed
checked, the
chest, of
children, currently
clamped, the
clearly, come
cleverest, witch
clip, on
clipping, smoothed
clock, It
closer, to
clunk, and
come, in
commonly, known
company, car
compass, to
